sku_id,candidato,wape_medio,bias_medio,mae_medio,tasa_fallback_backtest,sin_datos_suficientes
10125,benchmark,1.0142759783515851,0.28322298922623235,72.64216222374117,0.0,False
10133,ets_tsb,0.7923238748982824,-0.5205792384032526,349.90133955554336,0.0,False
10135,benchmark,0.9568595688040775,0.4221712254148688,78.83333333333334,0.0,False
11001,ets_tsb,0.7452860011519025,0.4369602903427287,86.53557298107647,0.0,False
15034,xgboost,0.4776990484965355,-0.4238256624858624,295.67264143625897,0.25,False
15036,benchmark,0.7716151688777348,0.22968023679811125,1121.0833333333333,0.0,False
15039,random_forest,0.6879618361032094,0.04072377221822163,157.4938249640984,0.25,False
15044A,random_forest,6.600396617822364,6.56248905536419,350.14593420526234,0.25,False
15044B,ets_tsb,0.9112338682626469,0.6610198167386221,48.26509878126627,0.0,False
15044C,xgboost,0.8884423020052181,0.5100424823162348,24.458246032396953,0.25,False
15044D,random_forest,0.8471268557550133,0.5503509336320271,45.965724327177455,0.25,False
15056BL,benchmark,0.4844866287015835,-0.11504198012548242,109.50144764861079,0.0,False
15056N,ets_tsb,0.5986312909285105,0.4740941164266428,166.00869711450798,0.0,False
15056P,random_forest,0.421565495351648,0.19486001486565885,29.366608632686756,0.25,False
15056bl,benchmark,0.7921994884910486,-0.13046035805626596,5.4,0.0,False
15056p,benchmark,,,,0.0,True
15058A,benchmark,0.9783502660861152,0.8125302370585389,34.22222222222222,0.0,False
15058B,benchmark,0.41478619900253455,-0.11015043741313058,18.444444444444443,0.0,False
15058C,benchmark,0.3703900709219858,0.21025300054555374,12.75,0.0,False
15060B,ets_tsb,1.6768290073627017,0.9787883154555725,43.16783738562413,0.0,False
16011,random_forest,0.8478482738867308,0.14095932934292155,110.0703271554834,0.625,False
16012,benchmark,0.7264957264957265,-0.7264957264957265,85.0,0.0,False
16014,benchmark,1.8707667434445643,0.5487369270778982,2079.266666666667,0.0,False
16015,benchmark,,,,0.0,True
16016,ets_tsb,0.4446335609889357,0.2113179994458113,33.88414815228198,0.0,False
16046,benchmark,27.258515211640212,26.874586640211643,402.0,0.0,False
16048,ets_tsb,0.44915163665646035,-0.055376017386892545,64.16728585765753,0.0,False
16156L,benchmark,,,,0.0,True
16156S,xgboost,0.7019368612503196,0.5567531771040785,290.2083905537923,0.25,False
16161P,benchmark,0.21759071058833812,-0.09463334490709185,152.7777777777778,0.0,False
16161U,random_forest,0.43800633703660036,0.0962629467783177,154.0793493011618,0.25,False
16168M,ets_tsb,0.5574490813196002,0.2246084498625014,19.8369110341506,0.0,False
16169M,benchmark,6.666666666666667,6.0,333.3333333333333,0.0,False
16207A,benchmark,,,,0.0,True
16216,benchmark,0.7763881262025042,-0.6499199182064188,340.8666666666667,0.0,False
16218,benchmark,0.7136087891185916,-0.7134919572219213,339.30016704761397,0.0,False
16219,benchmark,0.8829189012434018,-0.7897083224754815,376.33648805175517,0.0,False
16225,benchmark,1.4643507023577027,0.7081970494597574,40.66666666666667,0.0,False
16236,ets_tsb,0.5321302198569785,-0.21206828630011298,67.19082189681953,0.0,False
16237,random_forest,0.46479393777902916,0.308744241190403,164.49351187007437,0.25,False
16238,ets_tsb,0.4014074004638071,-0.21875726343396792,49.034650026960264,0.0,False
16258A,benchmark,1.2341580095678455,0.14840033343470677,46.2,0.0,False
16259,benchmark,1.0902253618753375,0.6699923071446918,715.5874205581653,0.0,False
17003,ets_tsb,0.5897950475746574,0.5166364613748393,1096.934694719418,0.0,False
17012A,benchmark,3.9024683267802533,2.686871996505024,82.5,0.0,False
17012B,benchmark,0.8222222222222222,0.5370008873114465,12.333333333333334,0.0,False
17012C,benchmark,0.9279061429368178,-0.5690104374153454,37.08333333333333,0.0,False
17012F,benchmark,0.7135052187653876,-0.7135052187653876,39.833333333333336,0.0,False
17021,ets_tsb,0.4489031011340869,0.2555293599434535,52.06605531110291,0.0,False
17038,xgboost,0.8636069690299012,0.23997603334041115,85.82608686174665,0.75,False
17084N,ets_tsb,0.514538050410452,0.24003233806306878,47.080059868761495,0.0,False
17084P,benchmark,,,,0.0,True
17084R,benchmark,2.2678062678062676,2.2051282051282053,592.0,0.0,False
17091A,ets_tsb,1.2458293986730995,1.2458293986730995,79.73308151507837,0.0,False
17091J,ets_tsb,0.4046581513876307,-0.06122882167349507,67.78499386514514,0.0,False
17096,ets_tsb,3.954220184285417,3.954220184285417,283.51417470512473,0.0,False
17107D,ets_tsb,0.30831782424840576,0.2666097894825536,3.4145833340020433,0.0,False
