sku_id,candidato,wape_medio,bias_medio,mae_medio,mase_medio,tasa_fallback_backtest,sin_datos_suficientes
15044C,tsb,0.8468610901470807,0.6545227163652072,15.094669680634144,1.4462885474319873,0.0,False
16011,lightgbm_global,0.5729468414924939,-0.20447299351500042,79.21410939380291,0.7874179541546891,0.0,False
16237,ensemble,0.4448358370665774,-0.0313641073939638,201.08633456525357,,0.0,False
20622,lightgbm_global,2.591914606586122,2.4254801324704363,18.099627252428057,1.7285554651949961,0.0,False
20713,ensemble,0.5497931315830334,-0.4564025634533068,830.4815477358543,,0.0,False
20726,ets,0.32129127500480537,0.08247073894312165,242.11378745015696,0.8183512341367807,0.0,False
20752,ensemble,0.7701347951679917,0.7518483649374382,10.655175031984056,,0.0,False
20761,ets,0.45254362380901825,-0.050164291141493664,4.862147427637552,0.17650039308206725,0.0,False
20772,benchmark,0.6806815744956483,0.34172392243547817,10.083333333333334,0.16774908972553232,0.0,False
20780,ets,1.0000000031931051,-0.14285713966403474,1.3333333345750966,0.10370026883937726,0.0,False
20802,ets,0.6901428184600241,0.38324746547868277,20.118589094621704,0.32336605431135335,0.0,False
20832,ensemble,0.5318676614360658,-0.4062687095039533,74.73906801928302,,0.0,False
20931,random_forest,0.8559600584506435,0.24397284937010405,15.383296480718357,0.4727198495088691,0.25,False
20941,ets,0.9458328118299928,-0.8541671881700073,4.364582029574982,0.026451552882826232,0.0,False
20967,ets,2.3981895647685585,1.3233768242266974,18.200257717279364,0.41754608986499586,0.0,False
20978,benchmark,0.333973170325568,0.08410625220643334,55.04166666666667,0.6666759467632885,0.0,False
21039,ensemble,0.5282813728351544,0.3019632728606107,18.081738365098914,,0.0,False
21061,xgboost,0.5804579469184799,0.3681598961316006,21.390100638071697,0.34368822720161185,0.25,False
21108,ensemble,0.869199520140258,-0.8600690568877094,713.7834811789459,,0.0,False
21116,benchmark,0.34788603502543675,0.025387041089631496,19.916666666666664,1.5575039458470683,0.0,False
21131,ensemble,0.8425486948938242,0.4328675992957794,6.347692245471525,,0.0,False
21136,ensemble,0.4142156766331911,-0.13055405800775371,186.59155995819833,,0.0,False
21187,lightgbm_global,1.3662428713658643,0.7691180818053277,43.12753219087677,0.5276310720802999,0.0,False
21189,random_forest,1.0402285639092275,0.7424509441883769,14.801774093383468,1.1334643362119743,0.25,False
21208,ensemble,0.365742031474345,-0.30551258172811036,28.814330180765722,,0.0,False
21258,ensemble,0.5255241382545729,-0.14845405582662144,24.354243742129146,,0.0,False
21288,random_forest,0.4160804822176706,-0.1810389116940952,12.066883425024049,0.16979828537410852,0.25,False
21289,ets,1.2225303395075444,0.6879425342753892,33.493539094042475,0.45828987913019537,0.0,False
21291,lightgbm_global,1.3159383214130345,0.5888190186588598,77.88491515525695,1.0314365633115137,0.0,False
21367,ensemble,0.25273050658096247,0.15401232016586242,2.904260872208732,,0.0,False
21400,ensemble,0.3732913505564663,0.16876077830562272,29.74570972885878,,0.0,False
21420,tsb,0.4520807397421597,0.13337830058566955,2.018958438930628,0.8907014581262944,0.0,False
21446,ensemble,1.4704567098712538,0.7611348335067968,50.61463681058518,,0.0,False
21452,ensemble,0.37531967094410396,-0.007816485076668983,20.05016107605238,,0.0,False
21467,ets,1.8074443339569117,1.5614153119700356,22.112334007033425,0.5555412294277374,0.0,False
21500,ensemble,0.34755595243012927,0.25571127976898833,162.25817596492013,,0.0,False
21506,ensemble,0.3637187920013667,-0.24937076243886058,184.46818084945414,,0.0,False
21535,xgboost,0.4000636060385026,0.09350922130990512,78.01495157423474,0.40970037758346023,0.25,False
21576,ensemble,0.3795150310498529,-0.1171782446699839,7.5770371856529595,,0.0,False
21578,ets,2.473165050136808,1.969134623412015,54.99489932733819,0.7837815046215212,0.0,False
21592,lightgbm_global,0.4574416815574684,-0.14412279580426268,74.77773980441577,0.34801552398600677,0.0,False
21613,ensemble,1.0119537170743464,-0.8927102773483889,18.43392091749706,,0.0,False
21641,lightgbm_global,0.9133839374034781,-0.3318462265283211,166.01174228554964,4.163213537759876,0.0,False
21666,ensemble,0.6188803011105204,0.13349001022637072,21.334679545561617,,0.0,False
21715,benchmark,0.6563913946666484,0.4430004241478829,78.33333333333334,0.8175067855206113,0.0,False
21730,ensemble,0.9032640306052544,0.5259009059254213,29.96787925173078,,0.0,False
21750,benchmark,1.251713879340998,0.9218756667061753,11.166666666666666,1.1850774377117521,0.0,False
21754,ensemble,0.26108666553326576,0.02111433123967545,44.015022004201,,0.0,False
21812,ensemble,0.7135744099629417,-0.47052686291735496,54.93168196356881,,0.0,False
21814,ensemble,5.493684786823592,5.461165625344859,25.801917356627133,,0.0,False
21850,random_forest,4.598536683311101,4.314105370275636,18.00097042309542,1.444926511229581,0.25,False
21871,tsb,0.5207254788573283,0.03129844619773064,221.84315011638694,0.5423162509694036,0.0,False
21872,ensemble,0.7655054106275839,-0.6913696091001021,165.8940749490432,,0.0,False
21880,xgboost,0.4118784083541354,-0.2727546567520497,49.90452694892883,0.39591055162385663,0.25,False
21890,ensemble,0.42769036950579703,0.23370318788616518,36.561172965715706,,0.0,False
21915,benchmark,0.32868585988445453,-0.10856504938069743,684.3432948179272,0.7482674152843046,0.0,False
21930,tsb,0.4027851203984949,0.017837677954161538,214.86758076846104,1.1571219633887955,0.0,False
